stock,delta_percent,delta_price
MMM,1.2242289091660123,-100.0
ABT,2.908903783127143,-100.0
ABBV,1.4671610601389333,-100.0
ABMD,2.729426986717154,-100.0
ACN,3.057916841191958,-100.0
ATVI,2.062658516850507,-100.0
ADBE,1.451587423866258,-100.0
AMD,2.255445395794403,-100.0
AAP,3.1607292127442355,-100.0
AES,2.5096510737599713,-100.0
AFL,1.4595618395147103,-100.0
A,1.6377235032375794,-100.0
APD,3.732684759594956,-100.0
AKAM,2.1387600407109235,-100.0
ALK,5.086486600135187,-100.0
ALB,3.210043124762672,-100.0
ARE,2.1584479789464406,-100.0
ALXN,0.9511091571201556,-100.0
ALGN,4.052469150490404,-100.0
ALLE,1.6872674761692945,-100.0
LNT,2.2887363225526594,-100.0
ALL,2.5128331725706046,-100.0
GOOGL,1.7030043205135932,-100.0
GOOG,1.755483674439245,-100.0
MO,2.0542456957219697,-100.0
AMZN,2.0108584283281252,-100.0
AMCR,11.42304272885645,-100.0
AEE,1.6160088707243785,-100.0
AAL,5.150760020150164,-100.0
AEP,2.6473077182256244,-100.0
AXP,1.577411420412821,-100.0
AIG,2.276626991686074,-100.0
AMT,1.666968933516389,-100.0
AWK,1.9284145415263114,-100.0
AMP,3.8035163017370266,-100.0
ABC,1.8213442233528516,-100.0
AME,1.9149138623512663,-100.0
AMGN,2.3879439213148412,-100.0
APH,1.9915327719102374,-100.0
ADI,3.7024509390289837,-100.0
ANSS,2.4104309231593484,-100.0
ANTM,2.9349443769240224,-100.0
AON,1.3972173668090004,-100.0
AOS,1.4326205847911935,-100.0
APA,5.629312109597489,-100.0
AAPL,1.4664693617421145,-100.0
AMAT,4.387371317748976,-100.0
APTV,2.9253999679455975,-100.0
ADM,1.800523593279076,-100.0
ANET,2.2932694533467117,-100.0
AJG,4.645218667139706,-100.0
AIZ,2.3865129643511005,-100.0
T,1.4854781034515734,-100.0
ATO,2.1968564528524617,-100.0
ADSK,2.4589492309417227,-100.0
ADP,2.7001800053009237,-100.0
AZO,3.6208920398320874,-100.0
AVB,3.053230032255658,-100.0
AVY,2.4222639411151037,-100.0
BKR,3.9803191652705605,-100.0
BLL,2.364539249384058,-100.0
BAC,3.7037021978674285,-100.0
BK,2.4229789569736773,-100.0
BAX,1.7113383534178956,-100.0
BDX,1.4545788812761369,-100.0
BRK.B,-100.0,0
BBY,5.8175433491057555,-100.0
BIO,1.781113788715858,-100.0
BIIB,3.1537890114041067,-100.0
BLK,3.8037328526550733,-100.0
BA,3.0122189319005415,-100.0
BKNG,3.7196422964589746,-100.0
BWA,3.2738667547502787,-100.0
BXP,2.0639354551892994,-100.0
BSX,2.7120458420916185,-100.0
BMY,2.2569840848211107,-100.0
AVGO,4.9724699997291655,-100.0
BR,1.9837477807594206,-100.0
BF.B,-100.0,0
CHRW,2.000841902815451,-100.0
COG,2.7621182493807837,-100.0
CDNS,3.071280360950229,-100.0
CPB,1.37679755735794,-100.0
COF,3.323929388797771,-100.0
CAH,2.3789020997143875,-100.0
KMX,2.4154206311050705,-100.0
CCL,7.224478630488488,-100.0
CARR,1.7974121168520922,-100.0
CTLT,3.274584865568204,-100.0
CAT,2.4994379685113897,-100.0
CBOE,1.9700552266877913,-100.0
CBRE,2.2344167146847655,-100.0
CDW,3.024423232289466,-100.0
CE,3.5476262486354324,-100.0
CNC,3.1002832120015853,-100.0
CNP,3.4910436972949292,-100.0
CERN,1.1764654340884972,-100.0
CF,5.010756625924059,-100.0
SCHW,2.7623351880139393,-100.0
CHTR,1.5984873439494098,-100.0
CVX,2.092662614933816,-100.0
CMG,1.671549140901508,-100.0
CB,5.769588737707545,-100.0
CHD,1.9557830616133853,-100.0
CI,1.9500914524994526,-100.0
CINF,2.830819276111254,-100.0
CTAS,1.5137888232006187,-100.0
CSCO,1.8625859510825071,-100.0
C,2.8805979431569546,-100.0
CFG,4.32395202295905,-100.0
CTXS,2.63980412125818,-100.0
CLX,1.8488475770010828,-100.0
CME,1.937250662613665,-100.0
CMS,2.2164481026785716,-100.0
KO,1.8138403335096343,-100.0
CTSH,2.5596820505545526,-100.0
CL,2.2044109011563755,-100.0
CMCSA,1.3931616634454205,-100.0
CMA,3.9824881196253394,-100.0
CAG,2.3437574666380976,-100.0
COP,3.3810897981948576,-100.0
ED,1.660159648911614,-100.0
STZ,2.274297187218244,-100.0
COO,2.2797119350009836,-100.0
CPRT,3.2964935989691417,-100.0
GLW,3.166974302526218,-100.0
CTVA,3.4729726171473088,-100.0
COST,2.127852923435992,-100.0
CCI,2.3405621716552023,-100.0
CSX,2.785142075122719,-100.0
CMI,2.437721371289323,-100.0
CVS,2.0773599979479775,-100.0
DHI,3.316606431081991,-100.0
DHR,2.527188788685232,-100.0
DRI,1.9614876832992911,-100.0
DVA,1.8307318758358468,-100.0
DE,2.132234303378908,-100.0
DAL,2.885212629287367,-100.0
XRAY,2.254793883778972,-100.0
DVN,3.8426692670530285,-100.0
DXCM,2.9122754219514846,-100.0
FANG,6.423372617625051,-100.0
DLR,3.1409315090805814,-100.0
DFS,3.474155897012175,-100.0
DISCA,5.309976554520047,-100.0
DISCK,5.471849016155984,-100.0
DISH,1.7264618152608062,-100.0
DG,6.34165543424176,-100.0
DLTR,3.8875290174545425,-100.0
D,1.896642678533961,-100.0
DPZ,1.3379765766993974,-100.0
DOV,2.081631972422327,-100.0
DOW,3.415262064406287,-100.0
DTE,2.0978997764296876,-100.0
DUK,1.9104803811698876,-100.0
DRE,2.4443901337810887,-100.0
DD,2.686756671520281,-100.0
DXC,3.264416497977809,-100.0
EMN,3.8901601830663615,-100.0
ETN,2.6280223700871805,-100.0
EBAY,2.5978473788543455,-100.0
ECL,2.2736098842157633,-100.0
EIX,3.007515905273219,-100.0
EW,2.167257643205793,-100.0
EA,1.429906355414244,-100.0
EMR,2.4753563830340664,-100.0
ENPH,6.235172319864337,-100.0
ETR,3.082336933726777,-100.0
EOG,4.027533756831034,-100.0
EFX,2.3740037374420275,-100.0
EQIX,2.4829544409042463,-100.0
EQR,2.6758247907020145,-100.0
ESS,3.693324221664082,-100.0
EL,1.7953975031150362,-100.0
ETSY,7.0234007455091865,-100.0
EVRG,2.5605803636896667,-100.0
ES,3.0705271025935588,-100.0
RE,2.5792526600449084,-100.0
EXC,2.4887487222933755,-100.0
EXPE,3.3411423986931945,-100.0
EXPD,1.6021877489932195,-100.0
EXR,3.7686387941150032,-100.0
XOM,2.9743770051339493,-100.0
FFIV,1.6896645652141247,-100.0
FB,4.125168948213669,-100.0
FAST,2.173450780163704,-100.0
FRT,2.488600159668113,-100.0
FDX,2.775249334780227,-100.0
FIS,1.7441048622119018,-100.0
FITB,3.672399631128334,-100.0
FE,3.6310331138048695,-100.0
FRC,2.8540495188492625,-100.0
FISV,1.6276966376703865,-100.0
FLT,1.5705850409942097,-100.0
FLIR,1.6789664845066636,-100.0
FLS,6.818773672406854,-100.0
FMC,2.0706791129849678,-100.0
F,3.187247907976737,-100.0
FTNT,3.1233528102964025,-100.0
FTV,1.1120996038688178,-100.0
FBHS,2.032704413965636,-100.0
FOXA,1.7383173215215417,-100.0
FOX,2.2732947168680715,-100.0
BEN,3.6301350624885282,-100.0
FCX,4.521272968079078,-100.0
GPS,3.8790279494290525,-100.0
GRMN,1.9016926989275507,-100.0
IT,1.3812428406202195,-100.0
GD,2.2692205144065385,-100.0
GE,2.8505458573356073,-100.0
GIS,1.341605270385136,-100.0
GM,3.678238876630016,-100.0
GPC,3.490618728390937,-100.0
GILD,1.6669309179862886,-100.0
GL,2.186350071207944,-100.0
GPN,1.6329381569927577,-100.0
GS,1.940517645777137,-100.0
GWW,3.0710212768794305,-100.0
HAL,3.270387018712927,-100.0
HBI,3.8575702924497572,-100.0
HIG,2.8392558978135325,-100.0
HAS,2.206196285517389,-100.0
HCA,2.8501160299536052,-100.0
PEAK,1.948456749940238,-100.0
HSIC,2.160164913444904,-100.0
HSY,1.552891523192421,-100.0
HES,5.0146182878085925,-100.0
HPE,1.8664036599108804,-100.0
HLT,3.0948082513395168,-100.0
HFC,3.8891978857569733,-100.0
HOLX,2.3512800254774233,-100.0
HD,2.3616519494058457,-100.0
HON,1.6119141247397566,-100.0
HRL,1.6732884628350277,-100.0
HST,3.0720632746857888,-100.0
HWM,4.975528996771322,-100.0
HPQ,2.1563321531935107,-100.0
HUM,2.6012969251455877,-100.0
HBAN,3.2339899434229857,-100.0
HII,2.0086494761667875,-100.0
IEX,1.232378966069291,-100.0
IDXX,1.6566521577426672,-100.0
INFO,0.7983974023992156,-100.0
ITW,2.5342704660625603,-100.0
ILMN,2.7014397821356644,-100.0
INCY,3.610156720358892,-100.0
IR,3.050924362280656,-100.0
INTC,3.289891536973827,-100.0
ICE,1.5523407436235683,-100.0
IBM,1.4860372521975245,-100.0
IP,2.3107261935261945,-100.0
IPG,3.1207127989504087,-100.0
IFF,1.966585664747266,-100.0
INTU,3.2200135922538053,-100.0
ISRG,2.7797287345950723,-100.0
IVZ,4.04858287089783,-100.0
IPGP,2.5067235319845795,-100.0
IQV,2.066958963893884,-100.0
IRM,1.373312386711083,-100.0
JKHY,2.3054395121350617,-100.0
J,2.4293806644390235,-100.0
JBHT,2.3700789189781317,-100.0
SJM,3.0564894335950026,-100.0
JNJ,1.2729659269817146,-100.0
JCI,2.776845467392234,-100.0
JPM,3.1417421279828766,-100.0
JNPR,1.4823752115582887,-100.0
KSU,3.202441072555499,-100.0
K,1.575980063333595,-100.0
KEY,3.348326180061144,-100.0
KEYS,2.1023711598119252,-100.0
KMB,2.369232177734375,-100.0
KIM,2.8738636608180057,-100.0
