stock,delta_percent,delta_price
MMM,0.3712920770034273,-100.0
ABT,0.6597356162541712,-100.0
ABBV,0.39901022270713904,-100.0
ABMD,0.7848048328113402,-100.0
ACN,0.46384004084047975,-100.0
ATVI,0.893440516158722,-100.0
ADBE,1.1634270756529825,-100.0
AMD,1.1100155462667787,-100.0
AAP,0.6469568788390617,-100.0
AES,0.5814012802893256,-100.0
AFL,0.8814151793778926,-100.0
A,0.6813789549016632,-100.0
APD,0.7878827050293947,-100.0
AKAM,0.8691336262177402,-100.0
ALK,2.1765188959206103,-100.0
ALB,0.5437353872379416,-100.0
ARE,0.0,-100.0
ALXN,0.6569007607343023,-100.0
ALGN,0.8221655927239916,-100.0
ALLE,0.6140157798647898,-100.0
LNT,0.6428530794043865,-100.0
ALL,0.7696443769401649,-100.0
GOOGL,0.9339160846106123,-100.0
GOOG,0.6055839230041502,-100.0
MO,0.2916048403644816,-100.0
AMZN,0.40096396484727764,-100.0
AMCR,0.8422009687741827,-100.0
AEE,0.2759547269732526,-100.0
AAL,1.7557554306591743,-100.0
AEP,0.3344466975803556,-100.0
AXP,0.605795698619446,-100.0
AIG,0.7893019196098353,-100.0
AMT,0.6959801634390949,-100.0
AWK,1.123439945773703,-100.0
AMP,0.5936180258486922,-100.0
ABC,0.6318121185344034,-100.0
AME,0.45071134742248625,-100.0
AMGN,0.498474642444964,-100.0
APH,0.5130625507158428,-100.0
ADI,0.7619655784382732,-100.0
ANSS,1.111211083067306,-100.0
ANTM,0.5763657393318002,-100.0
AON,0.5607141439321448,-100.0
AOS,0.9405751296558469,-100.0
APA,2.5139707962541378,-100.0
AAPL,0.798633660048328,-100.0
AMAT,1.6476061277277838,-100.0
APTV,1.8476157356218599,-100.0
ADM,0.2765859685307902,-100.0
ANET,0.5528701234485623,-100.0
AJG,0.5497646293965504,-100.0
AIZ,0.3215412347658787,-100.0
T,0.3686347513038556,-100.0
ATO,0.2952243922427692,-100.0
ADSK,0.45147248647028654,-100.0
ADP,0.7538366474589139,-100.0
AZO,0.3567169986111443,-100.0
AVB,0.6058612536457949,-100.0
AVY,0.26505445711518677,-100.0
BKR,1.9935109469610286,-100.0
BLL,0.5249372977907797,-100.0
BAC,0.6467201827600768,-100.0
BK,0.6481830352046068,-100.0
BAX,0.5167300384510978,-100.0
BDX,0.3941405439378805,-100.0
BRK.B,-100.0,0
BBY,0.9109111687548568,-100.0
BIO,0.0,-100.0
BIIB,0.685745441715069,-100.0
